"P_000736","P_000737","P_000646","P_000647","P_000648","P_001886","P_001887","P_002539","P_002540","P_002521","P_002522","P_002547","P_002548","P_000733","P_002440","P_000687","P_000690","P_000691","P_000721","P_000720","P_000744","P_000745","P_000753","P_002441","P_000500","P_000501","VAL_0","VAL_1","VAL_2","VAL_3"
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"6265",REC. DE HONORÁRIOS ADVOCATÍCIOS - 15% (QUINZE POR CENTO),"1999",OUTRAS RECEITAS CORRENTES,"1999122",ÔNUS DE SUCUMBÊNCIA,"199912",ENCARGOS LEGAIS PELA INSCRIÇÃO EM DÍVIDA ATIVA E RECEITAS DE ÔNUS DE SUCUMBÊNCIA,DEMAIS RECEITAS CORRENTES,"9",2024,"501",OUTROS RECURSOS NÃO VINCULADOS,Janeiro,1,"19991221",ÔNUS DE SUCUMBÊNCIA - PRINCIPAL,OUTRAS RECEITAS CORRENTES,"9","150100",SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA,,0,575670.17,
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"4136",MULTA DE MORA P/ATRASO NO REC. ISS PRÓPRIO EXERC. NFS-E,"1114",IMPOSTOS SOBRE A PRODUÇÃO E CIRCULAÇÃO DE MERCADORIAS E SERVIÇOS,"1114511",IMPOSTO SOBRE SERVIÇOS DE QUALQUER NATUREZA - ISSQN,"111451",IMPOSTOS SOBRE SERVIÇOS,IMPOSTOS,"1",2024,"500",RECURSOS NÃO VINCULADOS DE IMPOSTOS,Fevereiro,2,"11145112",IMPOSTO SOBRE SERVIÇOS DE QUALQUER NATUREZA - ISSQN - MULTAS E JUROS,"IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA","1","150100",SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA,,0,67669.2,
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"6211","TARIFA SERV. P/FORNEC. CÓPIAS, FOTOCÓPIAS E SIMILARES","1699",OUTROS SERVIÇOS,"1699990",OUTROS SERVIÇOS,"169999",OUTROS SERVIÇOS,OUTROS SERVIÇOS,"9",2024,"501",OUTROS RECURSOS NÃO VINCULADOS,Março,3,"16999901",OUTROS SERVIÇOS - PRINCIPAL,RECEITA DE SERVIÇOS,"6","150100",SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA,,0,1038,
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"2231",TAXA DE LIC P/UTIL DE MEIOS DE PUBLICIDADE - EXERCÍCIO,"1121",TAXAS PELO EXERCÍCIO DO PODER DE POLÍCIA,"1121010","TAXAS DE INSPEÇÃO, CONTROLE E FISCALIZAÇÃO","112101","TAXAS DE INSPEÇÃO, CONTROLE E FISCALIZAÇÃO",TAXAS,"2",2024,"753",RECURSOS PROVENIENTES DE TAXAS E CONTRIBUIÇÕES,Abril,4,"11210101","TAXAS DE INSPEÇÃO, CONTROLE E FISCALIZAÇÃO - PRINCIPAL","IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA","1","150100",SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA,,0,29932.58,
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"2241",TAXA LIC P/INST OU UTIL DE MAQ MOT ETC - EXERCÍCIO,"1121",TAXAS PELO EXERCÍCIO DO PODER DE POLÍCIA,"1121010","TAXAS DE INSPEÇÃO, CONTROLE E FISCALIZAÇÃO","112101","TAXAS DE INSPEÇÃO, CONTROLE E FISCALIZAÇÃO",TAXAS,"2",2024,"753",RECURSOS PROVENIENTES DE TAXAS E CONTRIBUIÇÕES,Abril,4,"11210101","TAXAS DE INSPEÇÃO, CONTROLE E FISCALIZAÇÃO - PRINCIPAL","IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA","1","150100",SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA,,0,2196.78,
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"1343",ISS FONTE EXERCÍCIO - NFS-E,"1114",IMPOSTOS SOBRE A PRODUÇÃO E CIRCULAÇÃO DE MERCADORIAS E SERVIÇOS,"1114511",IMPOSTO SOBRE SERVIÇOS DE QUALQUER NATUREZA - ISSQN,"111451",IMPOSTOS SOBRE SERVIÇOS,IMPOSTOS,"1",2024,"500",RECURSOS NÃO VINCULADOS DE IMPOSTOS,Abril,4,"11145111",IMPOSTO SOBRE SERVIÇOS DE QUALQUER NATUREZA - ISSQN - PRINCIPAL,"IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA","1","150100",SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA,,0,29595642.08,
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"5522",JUROS SOBRE TAXA LICENÇA FUNCIONAMENTO - DÍVIDA ATIVA,"1121",TAXAS PELO EXERCÍCIO DO PODER DE POLÍCIA,"1121010","TAXAS DE INSPEÇÃO, CONTROLE E FISCALIZAÇÃO","112101","TAXAS DE INSPEÇÃO, CONTROLE E FISCALIZAÇÃO",TAXAS,"2",2024,"753",RECURSOS PROVENIENTES DE TAXAS E CONTRIBUIÇÕES,Maio,5,"11210104","TAXAS DE INSPEÇÃO, CONTROLE E FISCALIZAÇÃO - DÍVIDA ATIVA - MULTAS E JUROS","IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA","1","150100",SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA,,0,105058.36,
"7",RECEITAS CORRENTES INTRAORÇAMENTÁRIAS,"621210101",RECEITA REALIZADA,C,"9688",CONTRIB. PATRONAL - ATIVO CIVIL - FUNDO RECIFIN,"7215",CONTRIBUIÇÕES PARA REGIMES PRÓPRIOS DE PREVIDÊNCIA E SISTEMA DE PROTEÇÃO SOCIAL,"7215021",CONTRIBUIÇÃO PATRONAL - SERVIDOR CIVIL ATIVO,"721502",CONTRIBUIÇÃO PATRONAL - SERVIDOR CIVIL,CONTRIBUIÇÕES SOCIAIS,"1",2024,"801",RECURSOS VINC. AO RPPS - FUNDO REP. (PLANO FINANC.),Junho,6,"72150211",CONTRIBUIÇÃO PATRONAL - SERVIDOR CIVIL ATIVO - PRINCIPAL,CONTRIBUIÇÕES,"2","610300",FUNDO FINANCEIRO - RECIFIN,,0,4020292.74,
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"9426",AUTORIZ. P/ INSTAL. GRADE/ LÁPIDE/ CANTEIRO - CEMITÉRIO STO. AMARO - FT 899 - 15.01,"1699",OUTROS SERVIÇOS,"1699990",OUTROS SERVIÇOS,"169999",OUTROS SERVIÇOS,OUTROS SERVIÇOS,"9",2024,"899",OUTROS RECURSOS VINCULADOS,Julho,7,"16999901",OUTROS SERVIÇOS - PRINCIPAL,RECEITA DE SERVIÇOS,"6","150100",SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA,,0,6070.68,
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"9443",UTILIZAÇÃO/ RESERVA DE VELÓRIO POPULAR - CASA AMARELA - FT 899 - 15.01,"1699",OUTROS SERVIÇOS,"1699990",OUTROS SERVIÇOS,"169999",OUTROS SERVIÇOS,OUTROS SERVIÇOS,"9",2024,"899",OUTROS RECURSOS VINCULADOS,Julho,7,"16999901",OUTROS SERVIÇOS - PRINCIPAL,RECEITA DE SERVIÇOS,"6","150100",SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA,,0,713.79,
